Mélység [m↓₊],Azimuth [°↻⁺],Sebesség [m/s]
0.25,178.3838565,1.921284813
0.25,172.5587648,1.283026155
0.25,177.7474453,1.455239171
0.25,173.5996526,1.673417648
0.25,179.5655742,1.721505754
0.25,176.7102196,1.775085934
0.25,179.2998792,1.463082527
0.25,174.4613874,1.371001536
0.25,174.1845568,1.492636042
0.25,181.7063379,1.466142584
0.25,175.1547428,1.24992887
0.25,172.1664318,1.542772965
0.25,178.3026209,1.43128966
0.25,178.3497433,1.196023099
0.25,176.8157448,1.69093798
0.25,177.99221,1.567387126
0.25,175.9177364,1.720439381
0.25,177.5937438,1.435648674
0.25,179.1038506,1.443234963
0.25,171.0880041,1.661385997
0.25,179.272369,1.411100438
0.25,174.5000935,1.86228555
0.25,180.1818621,1.432651155
0.25,181.1803418,1.338308015
0.25,176.1364896,1.185416243
0.25,171.2212789,1.268044866
0.25,177.021538,1.387366969
0.25,176.8771686,1.172550042
0.25,175.2073761,1.387577625
0.25,176.5866526,0.918893224
0.25,174.1014047,1.491002759
0.25,176.2335453,1.286342728
0.25,176.0525927,1.409918222
0.25,178.0253793,1.5065333
0.25,174.7980791,1.613131034
0.25,175.7992178,1.897342049
0.25,175.3213534,1.403952721
0.25,181.5669435,1.154559497
0.25,172.4357543,1.535699686
0.25,176.9336774,1.158122569
0.25,173.6221357,1.612018419
0.25,175.1914814,1.639508456
0.25,177.3309575,0.763694443
0.25,173.286568,1.478191162
0.25,178.7562608,1.486487679
0.25,178.488579,1.39037849
0.25,174.820449,1.269339825
0.25,174.9957685,1.365311526
0.25,175.9495584,1.414196651
0.25,179.3825092,1.396362475
0.25,173.8295719,1.425608224
0.25,174.8500015,1.397011896
0.25,177.1107507,1.537575589
0.25,171.4920606,1.66767715
0.25,181.3473779,0.993870942
0.25,176.0663531,1.256900872
0.25,170.6520276,1.684371428
0.25,171.064164,0.988734887
0.25,175.3953871,1.461384536
0.25,173.4555667,1.298061234
0.25,176.8301189,1.296708756
0.25,173.2791963,1.510030191
0.25,172.977605,1.566788316
0.25,174.4611993,1.60228019
0.25,176.076599,1.488593021
0.25,174.1708851,0.864056198
0.25,178.5563907,1.82876037
0.25,174.7319058,1.351448146
0.25,174.2926396,1.642814886
0.25,176.8140811,1.432646935
0.25,178.9764621,1.360175555
0.25,178.1363951,1.456078068
0.25,174.4068513,1.593216592
0.25,178.6958032,1.471112479
0.25,178.4643121,1.600276681
0.25,175.0239602,1.582653142
0.25,179.1646986,0.999270418
0.25,174.1131292,1.562379998
0.25,176.2758017,1.257237442
0.25,171.5390956,1.515848677
0.25,176.7170642,1.102223794
0.25,179.3502238,1.13607545
0.25,180.657039,1.129910682
0.25,173.7801335,1.011177029
0.25,174.155764,1.583358964
0.25,172.298462,1.526694137
0.25,179.7754565,1.432313901
0.25,171.5886238,1.673680836
0.25,179.7356433,1.445063395
0.25,170.6208125,1.288454836
0.25,182.3700837,0.945948501
0.25,175.8630864,1.322137527
0.25,177.8814715,1.507661311
0.25,178.7175558,1.465076955
