Timestamp;Lat;Lon;SpeedOverGound;Heading
1577839801;36.82172;-75.67419;10;265
1577840360;36.81904;-75.70674;10.3000002;263
1577840402;36.81879;-75.70913;9.8999996;263
1577841272;36.82658;-75.75532;9.8999996;303
1577840612;36.81825;-75.72058;9.6999998;272
1577840471;36.8184;-75.71294;9.3999996;265
1577841842;36.84036;-75.78099;8.6000004;303
1577840952;36.81925;-75.7402;9.1999998;293
1577840292;36.81945;-75.70269;10.3000002;263
1577834492;36.81661;-75.31503;12.5;283
1577842262;36.84875;-75.79627;7.0999999;304
1577841432;36.83043;-75.76251;9.5;303
1577841992;36.84365;-75.78705;8;303
1577843111;36.86887;-75.83512;10.1999998;300
1577842192;36.84746;-75.79397;6.8000002;304
1577841102;36.8222;-75.74711;9.6999998;303
1577842061;36.84503;-75.78956;7.5;303
1577842611;36.85698;-75.81111;10.1999998;303
1577843262;36.87256;-75.84274;9.6999998;300
1577843401;36.87564;-75.84915;9;300
1577842330;36.85012;-75.79874;7.8000002;303
1577843192;36.87086;-75.83923;10.1999998;300
1577842791;36.86152;-75.82005;9.6000004;300
1577842852;36.86288;-75.82292;9.1999998;300
1577844131;36.89591;-75.88106;10.1999998;313
1577844070;36.89388;-75.87853;9.8000002;314
1577842131;36.84634;-75.79194;7;303
1577843641;36.88112;-75.86042;10.1999998;304
1577844410;36.90478;-75.89208;9;314
1577844481;36.90685;-75.89466;8.8000002;314
1577843932;36.88959;-75.87329;9.1000004;313
1577844000;36.89164;-75.87581;9.3999996;315
1577842471;36.85332;-75.80456;9.3999996;304
1577844771;36.91488;-75.90453;7.5;315
1577844341;36.9027;-75.88954;9.1999998;314
1577844201;36.89824;-75.88398;10.1000004;314
1577844972;36.91951;-75.91013;6.4000001;314
1577845212;36.92433;-75.91605;5.8000002;313
1577843022;36.86669;-75.83065;9.8000002;300
1577844572;36.90943;-75.8979;8.6000004;314
1577843542;36.87874;-75.85556;9.6000004;300
1577845722;36.93499;-75.9329;9.6999998;295
1577845111;36.92237;-75.91362;6;313
1577845861;36.93797;-75.94007;10.1999998;294
1577834901;36.82196;-75.34397;12.6000004;284
1577846001;36.94035;-75.94771;9.8999996;285
1577845312;36.92621;-75.91833;5.5999999;311
1577846292;36.94396;-75.96197;8.3999996;285
