Ev,Ho,Nap,Ora,Perc,Ws,Wd
2022,12,1,6,38,1.9,
2022,12,1,6,39,2.9,60
2022,12,1,6,40,2.6,63
2022,12,1,6,41,2.9,67
2022,12,1,6,42,3.3,55
2022,12,1,6,43,3,58
2022,12,1,6,44,2.8,70
2022,12,1,6,45,2.2,60
2022,12,1,6,46,1.8,61
2022,12,1,6,47,0.9,51
2022,12,1,6,48,0.9,69
2022,12,1,6,49,1.7,57
2022,12,1,6,50,2.1,50
2022,12,1,6,51,1.2,70
2022,12,1,6,52,2.6,54
2022,12,1,6,53,1.9,78
2022,12,1,6,54,2.6,55
2022,12,1,6,55,2.7,70
2022,12,1,6,56,2.7,48
2022,12,1,6,57,3.2,67
2022,12,1,6,58,2.1,71
2022,12,1,6,59,1.2,89
2022,12,1,7,0,2.5,49
2022,12,1,7,1,2.3,61
2022,12,1,7,2,2.7,52
2022,12,1,7,3,2.1,61
2022,12,1,7,4,2.9,55
2022,12,1,7,5,3.1,61
2022,12,1,7,6,2.2,52
2022,12,1,7,7,2.9,56
2022,12,1,7,8,3.7,60
2022,12,1,7,9,3.7,57
2022,12,1,7,10,2.3,94
2022,12,1,7,11,2.2,52
2022,12,1,7,12,2.5,66
2022,12,1,7,13,2.5,65
2022,12,1,7,14,3.5,70
2022,12,1,7,15,1.5,65
2022,12,1,7,16,1.5,58
2022,12,1,7,17,1.9,94
2022,12,1,7,18,1.7,84
2022,12,1,7,19,2.1,36
2022,12,1,7,20,2.9,62
2022,12,1,7,21,2.2,67
2022,12,1,7,22,2.8,64
2022,12,1,7,23,3,73
2022,12,1,7,24,3.8,49
2022,12,1,7,25,1.9,74
2022,12,1,7,26,1.6,70
2022,12,1,7,27,2.1,67
2022,12,1,7,28,1.4,82
2022,12,1,7,29,1.4,57
2022,12,1,7,30,2,93
2022,12,1,7,31,2.8,51
2022,12,1,7,32,3.4,56
2022,12,1,7,33,2.9,57
2022,12,1,7,34,1.6,60
2022,12,1,7,35,1.2,69
2022,12,1,7,36,1.4,79
2022,12,1,7,37,1.7,53
2022,12,1,7,38,2.7,66
2022,12,1,7,39,2.4,66
2022,12,1,7,40,1.7,88
2022,12,1,7,41,3.7,66
2022,12,1,7,42,3.6,77
2022,12,1,7,43,2.3,74
2022,12,1,7,44,2.8,66
2022,12,1,7,45,1.6,71
2022,12,1,7,46,2.4,67
2022,12,1,7,47,1.6,50
2022,12,1,7,48,0.9,77
2022,12,1,7,49,2.3,76
2022,12,1,7,50,1.4,69
2022,12,1,7,51,1.2,56
2022,12,1,7,52,1.4,59
2022,12,1,7,53,1.9,44
2022,12,1,7,54,2.1,42
2022,12,1,7,55,1.8,64
2022,12,1,7,56,0.2,198
2022,12,1,7,57,0.5,82
2022,12,1,7,58,1.6,97
2022,12,1,7,59,2,66
2022,12,1,8,0,2.6,65
2022,12,1,8,1,2.4,61
2022,12,1,8,2,2.1,71
2022,12,1,8,3,0.9,51
2022,12,1,8,4,2.7,53
2022,12,1,8,5,2.6,58
2022,12,1,8,6,2.4,60
2022,12,1,8,7,2.1,81
2022,12,1,8,8,2.6,74
2022,12,1,8,9,2.4,75
2022,12,1,8,10,3.2,59
2022,12,1,8,11,3,46
2022,12,1,8,12,1.7,83
2022,12,1,8,13,1.8,59
2022,12,1,8,14,2.3,61
2022,12,1,8,15,1.9,85
2022,12,1,8,16,2.6,48
2022,12,1,8,17,2.9,60
2022,12,1,8,18,4.1,58
2022,12,1,8,19,2.2,82
2022,12,1,8,20,2.4,73
2022,12,1,8,21,2.4,61
2022,12,1,8,22,2.7,62
2022,12,1,8,23,1.4,90
2022,12,1,8,24,1.9,103
2022,12,1,8,25,1.7,86
2022,12,1,8,26,2,85
2022,12,1,8,27,2.8,72
2022,12,1,8,28,2.4,62
2022,12,1,8,29,1.6,70
2022,12,1,8,30,2.3,91
2022,12,1,8,31,2.9,90
2022,12,1,8,32,1.4,66
2022,12,1,8,33,0.7,48
2022,12,1,8,34,1.5,81
2022,12,1,8,35,2.9,93
2022,12,1,8,36,1.5,66
2022,12,1,8,37,1.6,93
2022,12,1,8,38,1.6,93
2022,12,1,8,39,0.9,59
2022,12,1,8,40,1.2,85
2022,12,1,8,41,1.3,52
2022,12,1,8,42,1.2,69
2022,12,1,8,43,1.3,92
2022,12,1,8,44,2.8,101
2022,12,1,8,45,2.3,75
2022,12,1,8,46,1.1,76
2022,12,1,8,47,1.2,105
2022,12,1,8,48,1.4,91
2022,12,1,8,49,2.6,104
2022,12,1,8,50,2.6,81
2022,12,1,8,51,1.8,93
2022,12,1,8,52,1.2,51
2022,12,1,8,53,1.5,80
2022,12,1,8,54,1.4,85
2022,12,1,8,55,0.8,93
2022,12,1,8,56,1.3,86
2022,12,1,8,57,1.6,43
2022,12,1,8,58,1.9,68
2022,12,1,8,59,0.8,94
2022,12,1,9,0,0.6,104
2022,12,1,9,1,1.2,102
2022,12,1,9,2,1.5,106
2022,12,1,9,3,2.2,92
2022,12,1,9,4,1.4,76
2022,12,1,9,5,1.8,96
2022,12,1,9,6,2.5,95
2022,12,1,9,7,2.5,54
2022,12,1,9,8,2.4,69
2022,12,1,9,9,2.3,
2022,12,1,9,10,1.3,55
2022,12,1,9,11,1.6,83
2022,12,1,9,12,1.3,80
2022,12,1,9,13,1.8,64
2022,12,1,9,14,2.2,67
2022,12,1,9,15,2.4,57
2022,12,1,9,16,2.6,80
2022,12,1,9,17,2.3,110
2022,12,1,9,18,2.4,100
2022,12,1,9,19,2,63
2022,12,1,9,20,0.9,110
2022,12,1,9,21,1.6,70
2022,12,1,9,22,1.1,105
2022,12,1,9,23,2.7,87
2022,12,1,9,24,3.2,90
2022,12,1,9,25,2.8,99
2022,12,1,9,26,3.4,87
2022,12,1,9,27,2.2,74
2022,12,1,9,28,2.4,83
2022,12,1,9,29,2.5,77
2022,12,1,9,30,2.8,71
2022,12,1,9,31,2.8,54
2022,12,1,9,32,2.5,49
2022,12,1,9,33,2.9,50
2022,12,1,9,34,2.9,57
2022,12,1,9,35,0.9,69
2022,12,1,9,36,1.1,46
2022,12,1,9,37,2.4,51
2022,12,1,9,38,2.6,79
2022,12,1,9,39,0.8,53
2022,12,1,9,40,2.5,88
2022,12,1,9,41,3.3,85
2022,12,1,9,42,1.7,94
2022,12,1,9,43,2.1,119
2022,12,1,9,44,3.6,110
2022,12,1,9,45,2.4,122
2022,12,1,9,46,1.8,44
2022,12,1,9,47,1.4,58
2022,12,1,9,48,2.1,93
2022,12,1,9,49,2.7,84
2022,12,1,9,50,2,
2022,12,1,9,51,1.5,68
2022,12,1,9,52,2.3,57
2022,12,1,9,53,2.2,70
2022,12,1,9,54,2.3,78
2022,12,1,9,55,3.1,94
2022,12,1,9,56,2.7,79
2022,12,1,9,57,2.4,69
2022,12,1,9,58,1,75
2022,12,1,9,59,2.7,39
2022,12,1,10,0,2.3,51
2022,12,1,10,1,1.9,83
2022,12,1,10,2,1.2,56
2022,12,1,10,3,1.2,113
2022,12,1,10,4,1.2,113
2022,12,1,10,5,1.1,99
2022,12,1,10,6,2.2,102
2022,12,1,10,7,1.6,94
2022,12,1,10,8,2,70
2022,12,1,10,9,2.1,71
2022,12,1,10,10,2.1,71
2022,12,1,10,11,0.7,93
2022,12,1,10,12,2.3,114
2022,12,1,10,13,2.9,111
2022,12,1,10,14,2.8,117
2022,12,1,10,15,2,114
2022,12,1,10,16,2.3,119
2022,12,1,10,17,3.2,56
2022,12,1,10,18,2,78
2022,12,1,10,19,2.7,58
2022,12,1,10,20,1.1,38
2022,12,1,10,21,1.3,2
2022,12,1,10,22,1.8,54
2022,12,1,10,23,2.2,82
2022,12,1,10,24,3,97
2022,12,1,10,25,2.1,104
2022,12,1,10,26,2,107
2022,12,1,10,27,1.6,66
2022,12,1,10,28,1.6,92
2022,12,1,10,29,2,90
2022,12,1,10,30,2.5,86
2022,12,1,10,31,1.9,72
2022,12,1,10,32,2,74
2022,12,1,10,33,1.8,70
2022,12,1,10,34,2.5,71
2022,12,1,10,35,2.8,93
2022,12,1,10,36,3.1,86
2022,12,1,10,37,1.9,100
2022,12,1,10,38,1.6,125
2022,12,1,10,39,1.3,84
